keys,en,context
"%d 件",,"src/ui/warehouse_screen.gd:161, src/ui/warehouse_screen.gd:162"
"%s · %s",,"src/ui/components/main_menu_entry.gd:25"
"%s拍 %s",,"src/ui/battle_screen.gd:2001"
"%s链接待配置",,"src/ui/components/boot_menu_controller.gd:95"
"%s链接打开失败",,"src/ui/components/boot_menu_controller.gd:99"
"0 件",,"src/ui/warehouse_screen.tscn:106, src/ui/warehouse_screen.tscn:144"
"0.5点",,"src/ui/battle_screen.gd:4354"
"1点",,"src/ui/battle_screen.gd:4354"
"2点",,"src/ui/battle_screen.gd:4354"
"3点",,"src/ui/battle_screen.gd:4354"
"4点",,"src/ui/battle_screen.gd:4354"
"82 年的法力药水",,"src/battle/item_catalog.gd:665"
"82 年的生命药水",,"src/battle/item_catalog.gd:659"
"<<< 返回",,"src/ui/hero_gallery_screen.gd:154, src/ui/item_gallery_screen.gd:156, src/ui/effect_gallery_screen.tscn:278"
"Discord 链接待配置",,"src/ui/boot_screen.tscn:1020"
"ESC 返回",,"src/ui/profile_screen.gd:308"
"L 框文字与留白",,"src/ui/battle_screen.gd:4308"
"M 框文字与留白",,"src/ui/battle_screen.gd:4305"
"QQ 链接待配置",,"src/ui/boot_screen.tscn:1062"
"S 框文字与留白",,"src/ui/battle_screen.gd:4301"
"Steam 链接待配置",,"src/ui/boot_screen.tscn:979"
"[outline_size=1][outline_color=#%s]【%s】[/outline_color][/outline_size]",,"src/ui/components/skill_card.gd:187"
"· %s ·",,"src/ui/components/mode_card.gd:62, src/ui/components/mode_card.gd:189"
"“请放心，我睡觉不打呼噜。”亢金【龙】如是说",,"src/battle/item_catalog.gd:642"
"← 返回",,"src/ui/profile_screen.tscn:41"
"。，、！？；：）》】」』〉］〕〗〙〛’”…—·+×÷％‰℃°.,!?;:%)]}",,"src/ui/effect_text_formatter.gd:34"
"一下",,"src/ui/battle_screen.gd:2664"
"一心只读圣贤书",,"src/battle/item_catalog.gd:651"
"一次攻击除了造成伤害，还额外触发的效果。额外触发只重复英雄技能；道具附带效果每次攻击最多结算一次。",,"src/ui/effect_gallery_screen.tscn:193"
"万剑归一，唯快不破",,"src/battle/item_catalog.gd:644"
"三十六计跑为上，三十七技回马枪 —— 星日【马】",,"src/battle/item_catalog.gd:669"
"上一个",,"src/ui/effect_gallery_screen.tscn:224, src/ui/hero_gallery_screen.tscn:171, src/ui/item_gallery_screen.tscn:198"
"上一页",,"src/ui/components/item_draft_popup.gd:94, src/ui/hero_gallery_screen.tscn:102, src/ui/item_gallery_screen.tscn:129"
"上等法力药水",,"src/battle/item_catalog.gd:433"
"上等生命药水",,"src/battle/item_catalog.gd:429"
"上限-1 / 费用-1",,"src/ui/battle_screen.gd:2376"
"下一个",,"src/ui/effect_gallery_screen.tscn:255, src/ui/hero_gallery_screen.tscn:202, src/ui/item_gallery_screen.tscn:229"
"下一件道具少消耗1点能量。",,"src/battle/item_catalog.gd:68"
"下一回合结束时，双方失去全部能量",,"src/ui/battle_screen.gd:5236"
"下一回合结束时，双方失去全部能量。",,"assets/data/heroes/h22.tres:13"
"下一页",,"src/ui/components/item_draft_popup.gd:95, src/ui/hero_gallery_screen.tscn:133, src/ui/item_gallery_screen.tscn:160"
"下回合可抽取道具",,"src/ui/battle_screen.gd:5274"
"下回合，敌方无法获得能量。",,"src/battle/item_catalog.gd:396"
"不动明王甲",,"src/battle/item_catalog.gd:451"
"不动明王甲：剩余%d次防御转甲",,"src/ui/battle_screen.gd:4740"
"不坠神言",,"assets/data/heroes/h08.tres:11"
"不死鸟的羽毛",,"src/battle/item_catalog.gd:421"
"不限制",,"src/ui/components/settings_panel.gd:554"
"个人资料",,"src/ui/profile_screen.gd:160, src/ui/profile_screen.tscn:49"
"临时抱佛脚",,"src/battle/item_catalog.gd:650"
"主动",,"src/ui/hero_gallery_screen.gd:552"
"乌骓【马】",,"assets/data/heroes/h19.tres:9"
"乌骓【马】攻击命中时，目标最多受到1点伤害；溢出伤害转移给生命最高的另一名存活敌方英雄。",,"assets/data/heroes/h19.tres:12"
"亢金【龙】",,"assets/data/heroes/h05.tres:9"
"亢金【龙】在队时，我方的「波」可以额外消耗1点能量，使伤害增加1点。",,"assets/data/heroes/h05.tres:13"
"亮闪闪",,"src/battle/item_catalog.gd:694"
"仅当我方没有其他可使用的道具时使用；本回合内，我方下一次攻击的总伤害增加2点。",,"src/battle/item_catalog.gd:590"
"从敌方出战英雄身上夺取1点护甲。",,"src/battle/item_catalog.gd:120"
"从本回合起，我方攻击的总伤害增加1点，若我方有一回合没有攻击，回合结束时出战英雄失去3点生命并结束此效果。",,"src/battle/item_catalog.gd:448"
"从自己的背包随机抽取1件普通道具，填入本物腾出的道具框并立即可用。",,"src/battle/item_catalog.gd:573"
"仓库",,"src/ui/main_menu.gd:202, src/ui/warehouse_screen.tscn:134"
"仓库为空",,"src/ui/warehouse_screen.tscn:171"
"代价",,"src/ui/battle_screen.gd:2396"
"代伤伞",,"src/battle/item_catalog.gd:334"
"价格 %s 金币",,"src/ui/item_gallery_screen.gd:720"
"价格 24,000 金币",,"src/ui/item_gallery_screen.tscn:408"
"会赢的",,"src/battle/item_catalog.gd:690"
"传说",,"src/ui/item_gallery_screen.gd:15, src/ui/codex_screen.tscn:649"
"传送卷轴",,"src/battle/item_catalog.gd:72"
"伤害",,"src/ui/battle_screen.gd:4355"
"你的路断了",,"src/battle/item_catalog.gd:693"
"使「波」额外造成1点伤害",,"src/ui/battle_screen.gd:5244"
"使我方出战英雄死亡；死亡结算成功后，选择我方一名未出战英雄，使其回复至生命上限并登场。本回合我方无法行动。",,"src/battle/item_catalog.gd:618"
"使敌方出战英雄获得3层毒素。",,"src/battle/item_catalog.gd:371"
"保价封",,"src/battle/item_catalog.gd:568"
"候阵签",,"src/battle/item_catalog.gd:230"
"借印佩",,"src/battle/item_catalog.gd:301"
"借命灯",,"src/battle/item_catalog.gd:539"
"假一赔十...前提是你还活着",,"src/battle/item_catalog.gd:662"
"偏锋甲",,"src/battle/item_catalog.gd:605"
"停龙剑",,"src/battle/item_catalog.gd:437"
"催用牌",,"src/battle/item_catalog.gd:593"
"先手",,"src/battle/item_catalog.gd:146"
"先手！在波波攒里！",,"src/battle/item_catalog.gd:634"
"免疫",,"src/ui/battle_screen.gd:2366, src/ui/battle_screen.gd:2574"
"免费切换（%s）",,"src/ui/battle_screen.gd:2027"
"入口",,"src/ui/components/main_menu_entry.gd:7"
"全屏窗口化",,"src/ui/components/settings_panel.gd:26"
"六爪阎罗",,"assets/data/heroes/h09.tres:11"
"关闭",,"src/ui/components/settings_panel.gd:551"
"净纹帚",,"src/battle/item_catalog.gd:613"
"凝血膏",,"src/battle/item_catalog.gd:347"
"出战",,"src/ui/battle_screen.gd:4355"
"分寸尺",,"src/battle/item_catalog.gd:387"
"分框视觉轴",,"src/ui/battle_screen.gd:4316"
"分痛木牌",,"src/battle/item_catalog.gd:222"
"分辨率",,"src/ui/components/settings_panel.gd:267"
"切换",,"src/ui/battle_screen.gd:8112, src/ui/components/hero_frame.gd:471"
"切换出战英雄",,"src/ui/battle_screen.gd:4599"
"力竭",,"src/ui/battle_screen.gd:2408"
"力量的代价",,"src/battle/item_catalog.gd:289"
"加入愿望单",,"src/ui/boot_screen.tscn:930"
"加时赛 · 巅峰 1v1",,"src/ui/battle_screen.gd:598"
"加时赛：选一人出战（满血·无技能无道具）",,"src/ui/battle_screen.gd:2651"
"劣质法力药水",,"src/battle/item_catalog.gd:180"
"劣质生命药水",,"src/battle/item_catalog.gd:167"
"十方无次第",,"assets/data/heroes/h04.tres:11"
"千里快哉风",,"assets/data/heroes/h07.tres:11"
"升级道具（3 选 1）",,"src/ui/battle_screen.gd:5788"
"单击自动转移 · 拖动精确放置",,"src/ui/warehouse_screen.tscn:182"
"印记",,"src/ui/battle_screen.gd:2354, src/ui/battle_screen.gd:2576"
"压阵坠",,"src/battle/item_catalog.gd:238"
"双方出战英雄失去全部护甲。",,"src/battle/item_catalog.gd:124"
"双方尚未触发的道具效果全部消失。",,"src/battle/item_catalog.gd:129"
"双生咒符",,"src/battle/item_catalog.gd:273"
"反制",,"src/ui/battle_screen.gd:2305"
"反噬",,"src/ui/battle_screen.gd:2328"
"取消",,"src/ui/components/item_draft_popup.gd:110"
"只失手过一次，那次对面是真的清白",,"src/battle/item_catalog.gd:640"
"台前拜三拜，血量多几百",,"src/battle/item_catalog.gd:660"
"合并双方当前能量，再平均分配。",,"src/battle/item_catalog.gd:548"
"后手",,"src/battle/item_catalog.gd:163"
"向这黑暗世界输送一丝光明！",,"src/battle/item_catalog.gd:635"
"吞尽八荒",,"assets/data/heroes/h24.tres:11"
"听匣筒",,"src/battle/item_catalog.gd:556"
"周天罡气",,"src/battle/item_catalog.gd:469"
"味道一般，疗效一般，贵的不一般",,"src/battle/item_catalog.gd:657"
"喵",,"src/ui/codex_screen.tscn:837"
"噬心钉",,"src/battle/item_catalog.gd:447"
"噬心钉：本回合必须攻击，否则失去3点生命",,"src/ui/battle_screen.gd:4755"
"噬铁虫",,"src/battle/item_catalog.gd:277"
"回合",,"src/ui/battle_screen.gd:4355"
"回合开始",,"src/ui/battle_screen.gd:1425"
"回流珠",,"src/battle/item_catalog.gd:621"
"回照镜",,"src/battle/item_catalog.gd:318"
"回购券",,"src/battle/item_catalog.gd:564"
"回购券：选择已使用的普通道具",,"src/ui/battle_screen.gd:5693"
"回锋鞘",,"src/battle/item_catalog.gd:242"
"回马枪",,"src/battle/item_catalog.gd:213"
"图鉴",,"src/ui/main_menu.gd:197"
"圣贤书",,"src/battle/item_catalog.gd:209"
"在遥远的第 40 个千年...",,"src/battle/item_catalog.gd:646"
"均能斗",,"src/battle/item_catalog.gd:547"
"坚固的护甲",,"src/battle/item_catalog.gd:310"
"垂直同步",,"src/ui/components/settings_panel.gd:270"
"声音",,"src/ui/components/settings_panel.gd:10"
"复苏石",,"src/battle/item_catalog.gd:133"
"夜明珠",,"src/battle/item_catalog.gd:495"
"夜明珠：剩余%d次切换触发",,"src/ui/battle_screen.gd:4759"
"大波",,"src/ui/battle_screen.gd:4354, src/ui/battle_screen.gd:8110"
"大防",,"src/ui/battle_screen.gd:4354, src/ui/battle_screen.gd:8111"
"天下十大奇物之一",,"src/battle/item_catalog.gd:666"
"天光长蚀",,"assets/data/heroes/h23.tres:11"
"天机不可泄露，但护甲和能量可以",,"src/battle/item_catalog.gd:688"
"天狗【狗】",,"assets/data/heroes/h23.tres:9"
"天狗【狗】的「波」或「大波」造成伤害时，等量降低敌方能量上限（最低到3点）。",,"assets/data/heroes/h23.tres:12"
"天罗·切换无效",,"src/ui/battle_screen.gd:2412"
"天罗地网",,"src/battle/item_catalog.gd:503"
"失败",,"src/ui/battle_screen.gd:2608, src/ui/components/battle_pve.gd:46"
"头像技能说明",,"src/ui/battle_screen.gd:4312"
"奔雷",,"assets/data/heroes/h19.tres:11"
"妖火",,"src/ui/battle_screen.gd:2328, src/battle/item_catalog.gd:185"
"娄金【狗】",,"assets/data/heroes/h11.tres:9"
"娄金【狗】出战时，敌方英雄切换下场后，该英雄受到2点真实伤害。",,"assets/data/heroes/h11.tres:12"
"字距",,"src/ui/battle_screen.gd:4296"
"孤锋锥",,"src/battle/item_catalog.gd:589"
"完整进度存档系统接入后启用",,"src/ui/boot_screen.tscn:907"
"定命丸",,"src/battle/item_catalog.gd:597"
"定身",,"src/ui/battle_screen.gd:2410"
"定身符",,"src/battle/item_catalog.gd:379"
"定身：切换无效（剩余%d回合）",,"src/ui/battle_screen.gd:4694"
"室火【猪】",,"assets/data/heroes/h12.tres:9"
"室火【猪】每受到 1 点伤害，获得 0.5 点能量。",,"assets/data/heroes/h12.tres:12"
"寄存牌",,"src/battle/item_catalog.gd:552"
"对敌方出战英雄造成1点伤害。",,"src/battle/item_catalog.gd:143"
"对敌方出战英雄造成2点伤害。",,"src/battle/item_catalog.gd:270"
"寻星坠",,"src/battle/item_catalog.gd:262"
"封印卷轴",,"src/battle/item_catalog.gd:483"
"封脉针",,"src/battle/item_catalog.gd:391"
"将我方与敌方的能量，道具栏整体对调。",,"src/battle/item_catalog.gd:508"
"将本回合行动的能量消耗改为消耗生命",,"src/ui/battle_screen.gd:5230"
"将本次「大波」改为连续两次「波」",,"src/ui/battle_screen.gd:5252"
"尾后针",,"src/battle/item_catalog.gd:475"
"尾火【虎】",,"assets/data/heroes/h03.tres:9"
"尾火【虎】每失去2点生命，攻击伤害增加1点。",,"assets/data/heroes/h03.tres:12"
"尾火【虎】的上一副护手，每挥一拳都能回本",,"src/battle/item_catalog.gd:686"
"帧率上限",,"src/ui/components/settings_panel.gd:273"
"平局",,"src/ui/battle_screen.gd:2602"
"平局 → 加时赛！",,"src/ui/battle_screen.gd:2643"
"并封【猪】",,"assets/data/heroes/h24.tres:9"
"并封【猪】在队时，我方可以降低1点能量上限，使本回合所有行动少消耗1点能量（最低到3点）。",,"assets/data/heroes/h24.tres:12"
"广寒【兔】",,"assets/data/heroes/h16.tres:9"
"应急箱",,"src/battle/item_catalog.gd:572"
"建档 · %s",,"src/ui/profile_screen.gd:303"
"开启",,"src/ui/components/settings_panel.gd:551"
"开始游戏",,"src/ui/boot_screen.tscn:888"
"归营牌",,"src/battle/item_catalog.gd:351"
"归营牌：下次切换时换下英雄回复%s点生命",,"src/ui/battle_screen.gd:4704"
"当前能量 %s / 上限 %s",,"src/ui/battle_screen.gd:6045, src/ui/battle_screen.gd:6046"
"影狩",,"assets/data/heroes/h11.tres:11"
"待抽取道具",,"src/ui/battle_screen.gd:5271"
"得能护符",,"src/battle/item_catalog.gd:218"
"心脏掌握魔法",,"src/battle/item_catalog.gd:285"
"急救铃",,"src/battle/item_catalog.gd:234"
"总音量",,"src/ui/components/settings_panel.gd:251"
"恢复默认",,"src/ui/components/settings_panel.gd:103"
"息灵铃",,"src/battle/item_catalog.gd:609"
"惊蛰",,"assets/data/heroes/h21.tres:12"
"惊蛰·行动取消",,"src/ui/battle_screen.gd:2403"
"愿望单",,"src/ui/components/boot_menu_controller.gd:81"
"愿望单链接待配置",,"src/ui/boot_screen.tscn:928"
"我方",,"src/ui/battle_screen.gd:4355"
"我方下一次「大波」额外增加1点伤害。",,"src/battle/item_catalog.gd:76"
"我方下一次「波」增加1点伤害。",,"src/battle/item_catalog.gd:56"
"我方下一次「防」改为「大防」。",,"src/battle/item_catalog.gd:80"
"我方下一次切换时，换下的英雄回复2点生命。",,"src/battle/item_catalog.gd:352"
"我方下一次攻击可以指定任意一名存活敌人。",,"src/battle/item_catalog.gd:104"
"我方下一次攻击多造成1点伤害。",,"src/battle/item_catalog.gd:96"
"我方出战英雄回复1点生命。",,"src/battle/item_catalog.gd:168"
"我方出战英雄回复2点生命。",,"src/battle/item_catalog.gd:64, src/battle/item_catalog.gd:340"
"我方出战英雄回复3点生命。",,"src/battle/item_catalog.gd:430"
"我方出战英雄失去1点护甲，获得1点能量。",,"src/battle/item_catalog.gd:116"
"我方出战英雄失去1点生命，生命最低的另一名存活英雄回复2点生命。",,"src/battle/item_catalog.gd:251"
"我方出战英雄的生命不足3点时，回复至3点。",,"src/battle/item_catalog.gd:598"
"我方出战英雄获得1点护甲。",,"src/battle/item_catalog.gd:160"
"我方出战英雄获得2点护甲。",,"src/battle/item_catalog.gd:60, src/battle/item_catalog.gd:311"
"我方接下来3次切换时，对敌方出战英雄造成1点伤害，切换登场的英雄获得1点护甲。",,"src/battle/item_catalog.gd:496"
"我方接下来3次成功防御时，出战英雄获得等同于该攻击总伤害的护甲。",,"src/battle/item_catalog.gd:452"
"我方接下来3次攻击若命中，由命中触发的英雄技能各额外触发1次。",,"src/battle/item_catalog.gd:444"
"我方接下来引爆毒素时，每层毒素伤害额外增加1点。",,"src/battle/item_catalog.gd:500"
"我方每次攻击命中，积累1点剑气。可消耗全部剑气强化攻击。（2点穿防，4点穿大防）",,"assets/data/heroes/h10.tres:13"
"我方立即获得3点能量，下回合开始时失去1点能量。",,"src/battle/item_catalog.gd:488"
"我方立即获得4点能量。",,"src/battle/item_catalog.gd:434"
"我方能量补满，然后出战英雄的生命降至1点。",,"src/battle/item_catalog.gd:540"
"我方道具栏对敌方隐藏，直到我方使用一件道具。",,"src/battle/item_catalog.gd:404"
"我要打十个！",,"src/battle/item_catalog.gd:695"
"战争号角",,"src/battle/item_catalog.gd:96"
"房日【兔】",,"assets/data/heroes/h04.tres:9"
"房日【兔】的攻击可以指定任意一名敌方英雄。",,"assets/data/heroes/h04.tres:12"
"打开背包",,"src/ui/battle_screen.gd:4603"
"扭曲的饥渴",,"src/battle/item_catalog.gd:408"
"承露盏",,"src/battle/item_catalog.gd:580"
"技能",,"src/ui/battle_screen.gd:670, src/ui/battle_screen.gd:3124, src/ui/battle_screen.gd:8113"
"把你的心给我~把你的爱给我~~",,"src/battle/item_catalog.gd:641"
"护甲",,"src/ui/battle_screen.gd:4354, src/ui/effect_text_formatter.gd:20"
"护甲-%s",,"src/ui/battle_screen.gd:2360, src/ui/battle_screen.gd:2570"
"护阵钉",,"src/battle/item_catalog.gd:330"
"抱歉，这里没有幸运币",,"src/battle/item_catalog.gd:649"
"抵挡「波」",,"src/ui/battle_screen.gd:5217"
"抵挡「波」、「大波」",,"src/ui/battle_screen.gd:5219"
"抵锋扣",,"src/battle/item_catalog.gd:293"
"押注敌方一件可使用的道具；本回合其若被使用，我方获得2点能量。",,"src/battle/item_catalog.gd:561"
"押物票",,"src/battle/item_catalog.gd:560"
"抽取道具（3 选 1）",,"src/ui/battle_screen.gd:5796, src/ui/components/item_draft_popup.gd:70"
"招魂幡",,"src/battle/item_catalog.gd:519"
"指定敌方一名队友，立即打断并替换敌方出战英雄。",,"src/ui/battle_screen.gd:5234, assets/data/heroes/h21.tres:13"
"挡",,"src/ui/battle_screen.gd:7605"
"换命契",,"src/battle/item_catalog.gd:535"
"换签筒",,"src/battle/item_catalog.gd:576"
"换签筒：选择替换道具（%d 选 1）",,"src/ui/battle_screen.gd:5691"
"换防扣",,"src/battle/item_catalog.gd:226"
"据说原主人已经戒血了",,"src/battle/item_catalog.gd:683"
"接着蓄力就好",,"src/battle/item_catalog.gd:667"
"接，化，发！",,"src/battle/item_catalog.gd:684"
"揪",,"src/ui/battle_screen.gd:2939"
"搜索...",,"src/ui/codex_screen.gd:61, src/ui/components/codex_search_curved_text.gd:124, src/ui/codex_screen.tscn:912"
"攒",,"src/ui/battle_screen.gd:8107"
"改名",,"src/ui/profile_screen.gd:292"
"攻",,"src/ui/battle_screen.gd:2942"
"效果",,"src/ui/codex_screen.tscn:344, src/ui/components/effect_gallery_entry.tscn:89"
"效果稳定，没兑水",,"src/battle/item_catalog.gd:663"
"敌方",,"src/ui/battle_screen.gd:4355"
"敌方下一次攻击命中我方时，攻击者受到1点伤害。",,"src/battle/item_catalog.gd:108"
"敌方下一次攻击少造成1点伤害。",,"src/battle/item_catalog.gd:100"
"敌方下回合使用的第一件道具无效。",,"src/battle/item_catalog.gd:484"
"敌方出战英雄失去2点护甲。",,"src/battle/item_catalog.gd:88"
"敌方出战英雄获得3层脆弱。",,"src/battle/item_catalog.gd:375"
"敌方序列：",,"src/ui/battle_screen.gd:2003"
"敌方序列：无",,"src/ui/battle_screen.gd:1996"
"散契钟",,"src/battle/item_catalog.gd:515"
"断招",,"src/ui/battle_screen.gd:2399"
"无处可逃",,"src/battle/item_catalog.gd:681"
"无我亦无穷",,"assets/data/heroes/h17.tres:12"
"无敌是多么寂寞",,"src/battle/item_catalog.gd:632"
"时滞枷锁",,"src/battle/item_catalog.gd:399"
"星日【马】",,"assets/data/heroes/h07.tres:9"
"是我变成了你，还是你变成了我",,"src/battle/item_catalog.gd:691"
"昴日【鸡】",,"assets/data/heroes/h10.tres:8"
"显示",,"src/ui/components/settings_panel.gd:10"
"显示或隐藏测试按钮",,"src/ui/battle_screen.gd:6523"
"显示模式",,"src/ui/components/settings_panel.gd:263"
